timestamp,voltage,current,frequency
2024-01-20 10:40:00,230.31,5.86,50.0
2024-01-20 10:42:00,230.61,5.86,50.0
2024-01-20 10:44:00,230.23,5.89,49.99
2024-01-20 10:46:00,230.03,5.97,49.99
2024-01-20 10:48:00,229.98,5.91,50.0
2024-01-20 10:50:00,230.1,5.91,49.99
2024-01-20 10:52:00,229.58,5.94,49.97
2024-01-20 10:54:00,229.71,5.96,49.96
2024-01-20 10:56:00,229.48,5.9,49.95
2024-01-20 10:58:00,229.16,5.89,49.95
2024-01-20 11:00:00,229.33,5.92,49.93
2024-01-20 11:02:00,229.94,5.89,49.93
2024-01-20 11:04:00,229.75,5.9,49.92
2024-01-20 11:06:00,229.28,5.9,49.94
2024-01-20 11:08:00,229.48,5.97,49.93
2024-01-20 11:10:00,229.19,5.89,49.94
2024-01-20 11:12:00,229.55,5.9,49.92
2024-01-20 11:14:00,229.89,5.96,49.93
2024-01-20 11:16:00,230.39,5.8,49.92
2024-01-20 11:18:00,230.4,5.84,49.93
2024-01-20 11:20:00,229.99,5.97,49.92
2024-01-20 11:22:00,230.48,5.85,49.89
2024-01-20 11:24:00,230.53,5.92,49.88
2024-01-20 11:26:00,231.08,5.95,49.88
2024-01-20 11:28:00,231.19,5.88,49.89
2024-01-20 11:30:00,231.49,5.79,49.91
2024-01-20 11:32:00,231.91,5.81,49.92
2024-01-20 11:34:00,232.57,5.76,49.93
2024-01-20 11:36:00,232.9,5.86,49.94
2024-01-20 11:38:00,232.97,5.87,49.92
2024-01-20 11:40:00,232.74,5.91,49.91
2024-01-20 11:42:00,232.72,5.79,49.91
2024-01-20 11:44:00,232.83,5.84,49.89
2024-01-20 11:46:00,232.57,5.92,49.9
2024-01-20 11:48:00,232.58,5.87,49.89
2024-01-20 11:50:00,233.07,5.83,49.88
2024-01-20 11:52:00,232.47,5.76,49.87
2024-01-20 11:54:00,233.05,5.97,49.88
2024-01-20 11:56:00,232.44,5.8,49.87
2024-01-20 11:58:00,232.34,5.81,49.88
2024-01-20 12:00:00,232.24,5.9,49.88
2024-01-20 12:02:00,232.7,5.81,49.89
2024-01-20 12:04:00,232.43,5.85,49.89
2024-01-20 12:06:00,232.56,5.92,49.9
2024-01-20 12:08:00,232.68,5.84,49.9
2024-01-20 12:10:00,233.22,5.79,49.9
2024-01-20 12:12:00,233.61,5.83,49.91
2024-01-20 12:14:00,234.39,5.81,49.91
2024-01-20 12:16:00,234.46,5.84,49.92
